X1,X2,X3,X4
63.26,25.24,29.25,24.60
44.77,93.34,61.77,24.60
66.04,23.24,35.05,25.36
67.04,21.72,48.16,75.18
34.70,16.23,30.60,73.41
41.03,46.15,54.47,65.78
38.77,27.60,44.56,78.88
42.68,16.57,35.28,77.75
66.77,58.52,43.48,74.85
49.85,36.42,34.97,21.89
56.58,26.04,29.74,33.95
53.60,31.56,69.53,74.21
60.60,14.13,68.24,72.74
39.24,40.17,38.32,79.30
59.08,103.19,49.63,71.24
87.86,33.15,72.95,36.80
66.52,80.49,48.58,35.14
56.89,38.73,46.18,78.26
56.58,19.03,48.81,34.29
36.77,8.91,44.42,73.15
54.36,22.40,69.97,75.45
46.35,17.46,65.67,31.21
66.04,46.10,57.59,23.39
60.80,22.14,51.05,27.72
50.19,107.52,43.87,31.36
76.77,54.29,28.96,71.03
66.43,68.77,59.21,22.17
48.01,30.52,49.60,26.95
67.95,24.36,53.41,26.01
41.53,22.14,28.59,67.63
61.88,15.12,72.15,39.92
67.70,43.01,64.89,29.89
72.29,29.37,72.30,73.46
70.49,25.95,68.94,83.57
61.70,35.74,31.05,27.02
52.55,130.53,28.63,80.97
55.91,133.48,44.56,37.09
77.63,18.05,53.82,35.12
77.56,33.53,31.25,86.96
56.72,23.81,58.26,37.62
41.08,14.73,29.44,27.68
47.25,41.66,41.04,24.15
40.67,18.47,54.32,27.24
57.31,32.64,43.89,77.31
43.34,43.21,39.50,76.58
59.18,9.44,39.60,77.52
38.24,22.85,39.47,29.11
51.54,59.21,60.68,31.37
52.64,35.66,26.88,75.17
61.69,47.48,55.46,74.12
71.12,16.32,72.12,84.82
67.24,17.97,43.74,28.21
53.63,10.60,64.58,82.78
48.19,9.57,54.85,73.26
56.47,68.54,47.85,30.07
86.07,12.11,53.83,25.93
39.67,31.10,72.44,66.01
67.56,18.08,67.98,82.17
33.65,88.08,69.17,82.81
27.42,28.68,69.01,28.55
53.84,22.87,37.13,28.99
62.23,22.17,68.35,34.22
59.89,38.36,59.17,32.28
55.87,24.85,49.77,35.56
80.89,18.21,45.66,68.51
58.56,16.53,55.23,79.78
44.81,33.89,56.96,29.89
